epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,190.303,2.28475,2.89402,2.40146,0.1203,0.15343,0.06619,0.02098,2.39261,6.49128,2.89701,0.000331761,0.000331761,0.0671557
2,388.872,2.29116,2.82583,2.43897,0.22047,0.22611,0.14846,0.04663,2.4175,3.03981,2.81063,0.00065851,0.00065851,0.0341491
3,585.642,2.24162,2.78087,2.37909,0.16196,0.16334,0.07271,0.0216,2.52398,3.10878,2.83476,0.000978659,0.000978659,0.00113589
4,782.172,2.20723,2.74782,2.34286,0.23544,0.30417,0.16371,0.05286,2.26157,2.86036,2.56582,0.0009703,0.0009703,0.0009703
5,978.686,2.13096,2.68018,2.29071,0.20237,0.33431,0.14644,0.05182,2.15096,2.98619,2.49882,0.0009604,0.0009604,0.0009604
6,1174.92,2.09229,2.59705,2.26171,0.25398,0.38358,0.21611,0.07616,2.14845,2.41661,2.52471,0.0009505,0.0009505,0.0009505
7,1372,2.065,2.56353,2.21634,0.27728,0.36878,0.22512,0.07967,2.08653,2.5595,2.41723,0.0009406,0.0009406,0.0009406
8,1569.07,2.01127,2.42436,2.17051,0.30178,0.36878,0.23884,0.0805,2.12212,2.4255,2.44478,0.0009307,0.0009307,0.0009307
9,1766.11,2.00441,2.4174,2.14614,0.29603,0.41454,0.24244,0.09041,2.02753,2.25396,2.37231,0.0009208,0.0009208,0.0009208
10,1962.47,1.98201,2.40962,2.12249,0.28243,0.41857,0.22178,0.08344,2.02713,2.26331,2.34998,0.0009109,0.0009109,0.0009109
11,2159.28,1.98749,2.3741,2.13715,0.29928,0.49933,0.24799,0.09522,1.93389,2.38924,2.2881,0.000901,0.000901,0.000901
12,2356.18,1.9358,2.30221,2.09213,0.32642,0.40781,0.26014,0.09881,1.98928,2.24367,2.32769,0.0008911,0.0008911,0.0008911
13,2552.72,1.92464,2.27635,2.07314,0.34332,0.46703,0.32395,0.1315,1.91515,2.08133,2.25438,0.0008812,0.0008812,0.0008812
14,2748.62,1.88791,2.2486,2.05922,0.35527,0.49798,0.32959,0.12577,1.92439,2.06068,2.26077,0.0008713,0.0008713,0.0008713
15,2944.51,1.91466,2.21869,2.05682,0.36135,0.49125,0.34792,0.13236,1.94384,2.01959,2.29632,0.0008614,0.0008614,0.0008614
16,3140.75,1.9027,2.21589,2.05137,0.32111,0.5397,0.30322,0.12122,1.91569,2.03373,2.2496,0.0008515,0.0008515,0.0008515
17,3336.49,1.87596,2.17689,2.04161,0.38451,0.55585,0.33254,0.13471,1.8508,1.95335,2.22071,0.0008416,0.0008416,0.0008416
18,3532.8,1.88006,2.15748,2.03528,0.37166,0.52086,0.31928,0.12393,1.95369,1.96706,2.2764,0.0008317,0.0008317,0.0008317
19,3728.86,1.87388,2.15924,2.03866,0.35577,0.55893,0.32878,0.1328,1.91634,1.96442,2.21898,0.0008218,0.0008218,0.0008218
20,3924.47,1.84583,2.13217,2.02136,0.41761,0.51279,0.3747,0.14957,1.87913,1.90733,2.23265,0.0008119,0.0008119,0.0008119
21,4120.3,1.84811,2.11071,2.00802,0.37639,0.53432,0.36085,0.14294,1.84988,1.9063,2.17977,0.000802,0.000802,0.000802
22,4316.65,1.85272,2.10604,1.99914,0.34669,0.57739,0.32415,0.13057,1.88764,1.92159,2.16376,0.0007921,0.0007921,0.0007921
23,4513.2,1.81586,2.09008,1.98598,0.37193,0.56528,0.33839,0.13813,1.86117,1.91058,2.17703,0.0007822,0.0007822,0.0007822
24,4708.8,1.82615,2.06866,2.00034,0.40743,0.59595,0.39255,0.15683,1.84249,1.84107,2.17451,0.0007723,0.0007723,0.0007723
25,4904.41,1.7969,2.03385,1.96988,0.37463,0.5747,0.35755,0.14714,1.83581,1.90717,2.17235,0.0007624,0.0007624,0.0007624
26,5099.89,1.78103,2.00709,1.9658,0.39182,0.56124,0.37775,0.15933,1.83257,1.85362,2.17807,0.0007525,0.0007525,0.0007525
27,5296.83,1.78342,2.02043,1.95121,0.39338,0.56033,0.38804,0.16186,1.88744,1.8443,2.1886,0.0007426,0.0007426,0.0007426
28,5493.34,1.79707,1.99792,1.95079,0.41909,0.56931,0.40881,0.17267,1.81958,1.78092,2.12616,0.0007327,0.0007327,0.0007327
29,5688.89,1.77181,1.98089,1.94462,0.3813,0.56404,0.36362,0.15653,1.85041,1.83054,2.16694,0.0007228,0.0007228,0.0007228
30,5884.48,1.75996,1.9242,1.92402,0.42269,0.58008,0.42371,0.17338,1.86532,1.75874,2.14988,0.0007129,0.0007129,0.0007129
31,6080.86,1.7526,1.9166,1.91739,0.43372,0.61232,0.44517,0.18561,1.8043,1.75085,2.10335,0.000703,0.000703,0.000703
32,6277.16,1.75955,1.94013,1.93027,0.43425,0.56931,0.44202,0.18374,1.82923,1.78633,2.15471,0.0006931,0.0006931,0.0006931
33,6473.08,1.72988,1.88272,1.89183,0.43841,0.58277,0.42906,0.18305,1.78239,1.70898,2.07299,0.0006832,0.0006832,0.0006832
34,6668.2,1.73554,1.89431,1.90299,0.38838,0.60253,0.37797,0.16291,1.82181,1.74981,2.12912,0.0006733,0.0006733,0.0006733
35,6864.04,1.70961,1.87578,1.89113,0.39828,0.64334,0.39154,0.17131,1.80169,1.76379,2.12213,0.0006634,0.0006634,0.0006634
36,7060.24,1.71858,1.85526,1.88608,0.39429,0.62719,0.38002,0.15953,1.89954,1.78482,2.17741,0.0006535,0.0006535,0.0006535
37,7256.63,1.72148,1.84968,1.9121,0.4484,0.59219,0.43128,0.18918,1.79932,1.752,2.12617,0.0006436,0.0006436,0.0006436
38,7453.2,1.70829,1.83078,1.88359,0.42558,0.61625,0.43144,0.19109,1.83276,1.68397,2.12224,0.0006337,0.0006337,0.0006337
39,7650.16,1.7028,1.85328,1.88949,0.47285,0.63503,0.44377,0.19129,1.79456,1.66498,2.12588,0.0006238,0.0006238,0.0006238
40,7847.24,1.68676,1.81418,1.85755,0.46844,0.61911,0.45733,0.20013,1.77804,1.65295,2.11052,0.0006139,0.0006139,0.0006139
41,8043.82,1.66841,1.80145,1.86644,0.45984,0.62584,0.46169,0.19699,1.81212,1.63758,2.11712,0.000604,0.000604,0.000604
42,8240.11,1.66649,1.77487,1.85191,0.46959,0.6245,0.45016,0.19679,1.83072,1.63731,2.13609,0.0005941,0.0005941,0.0005941
43,8436.34,1.66025,1.7646,1.84534,0.47885,0.62046,0.44998,0.19593,1.81255,1.61095,2.11365,0.0005842,0.0005842,0.0005842
44,8632.96,1.68488,1.75749,1.85574,0.47309,0.63392,0.46935,0.20596,1.81776,1.59582,2.10556,0.0005743,0.0005743,0.0005743
45,8830.02,1.64906,1.76299,1.83053,0.43879,0.64065,0.41962,0.18877,1.79483,1.63877,2.10019,0.0005644,0.0005644,0.0005644
46,9026.16,1.63074,1.72149,1.81392,0.4574,0.65692,0.45585,0.2107,1.76604,1.5854,2.09781,0.0005545,0.0005545,0.0005545
47,9222.58,1.64149,1.72362,1.82712,0.49657,0.62794,0.47245,0.20884,1.78408,1.59769,2.10175,0.0005446,0.0005446,0.0005446
48,9419.01,1.6378,1.72572,1.83472,0.46456,0.6245,0.45032,0.20219,1.78159,1.64171,2.09583,0.0005347,0.0005347,0.0005347
49,9614.63,1.63749,1.70884,1.82581,0.48166,0.62281,0.47311,0.21512,1.77645,1.5603,2.07548,0.0005248,0.0005248,0.0005248
50,9810.63,1.59829,1.67882,1.79212,0.47501,0.64199,0.47133,0.21255,1.7949,1.56797,2.12997,0.0005149,0.0005149,0.0005149
51,10007.5,1.61371,1.67384,1.80622,0.4696,0.6568,0.45281,0.20541,1.80154,1.57159,2.10772,0.000505,0.000505,0.000505
52,10204.4,1.58558,1.66172,1.78053,0.50276,0.65007,0.48307,0.22057,1.78646,1.5208,2.09431,0.0004951,0.0004951,0.0004951
53,10400.9,1.59121,1.64903,1.7895,0.48883,0.65141,0.48365,0.22355,1.78243,1.53075,2.11422,0.0004852,0.0004852,0.0004852
54,10597.3,1.58125,1.65523,1.7846,0.49084,0.67295,0.49232,0.22035,1.81129,1.51118,2.1183,0.0004753,0.0004753,0.0004753
55,10793.5,1.58561,1.61169,1.78475,0.5071,0.61201,0.47611,0.21578,1.82678,1.52587,2.14782,0.0004654,0.0004654,0.0004654
56,10990.7,1.56578,1.60656,1.7761,0.47213,0.64763,0.47197,0.2098,1.78372,1.60124,2.11134,0.0004555,0.0004555,0.0004555
57,11186.9,1.56452,1.60473,1.77124,0.50038,0.65141,0.49304,0.21863,1.77718,1.53293,2.10302,0.0004456,0.0004456,0.0004456
58,11383.7,1.57693,1.57287,1.76829,0.49644,0.65007,0.47852,0.2234,1.79741,1.53196,2.12002,0.0004357,0.0004357,0.0004357
59,11578.8,1.54724,1.58457,1.75472,0.49636,0.6473,0.499,0.22648,1.78173,1.51143,2.0923,0.0004258,0.0004258,0.0004258
60,11775.5,1.54501,1.56206,1.74512,0.4996,0.66891,0.50501,0.2261,1.79381,1.47698,2.10106,0.0004159,0.0004159,0.0004159
61,11971.5,1.53194,1.54195,1.74422,0.49492,0.64603,0.47768,0.22337,1.77654,1.48873,2.09424,0.000406,0.000406,0.000406
62,12167.5,1.54382,1.55833,1.75827,0.50567,0.69389,0.50192,0.22462,1.80729,1.48318,2.13878,0.0003961,0.0003961,0.0003961
63,12363.9,1.52687,1.51584,1.74013,0.52882,0.64872,0.50842,0.23091,1.77049,1.4734,2.07356,0.0003862,0.0003862,0.0003862
64,12560.7,1.53289,1.51822,1.74493,0.51506,0.63392,0.50167,0.22976,1.78925,1.46737,2.1105,0.0003763,0.0003763,0.0003763
65,12757.1,1.50596,1.4872,1.72223,0.53604,0.64738,0.51745,0.23859,1.78218,1.44414,2.12276,0.0003664,0.0003664,0.0003664
66,12954.2,1.50622,1.46644,1.7161,0.58113,0.64065,0.53773,0.24835,1.79515,1.41997,2.1147,0.0003565,0.0003565,0.0003565
67,13151.3,1.50321,1.50948,1.71777,0.55652,0.66622,0.53543,0.24509,1.77459,1.43459,2.09572,0.0003466,0.0003466,0.0003466
68,13348,1.47195,1.47215,1.69581,0.53621,0.62719,0.4985,0.23555,1.80097,1.46464,2.13476,0.0003367,0.0003367,0.0003367
69,13544.5,1.46884,1.44282,1.69245,0.53904,0.63122,0.51732,0.24004,1.79414,1.43214,2.12611,0.0003268,0.0003268,0.0003268
70,13740.5,1.468,1.448,1.70124,0.53751,0.64759,0.52743,0.24721,1.77348,1.43728,2.1283,0.0003169,0.0003169,0.0003169
71,13936.3,1.44826,1.42081,1.68653,0.55143,0.67968,0.5312,0.24506,1.7771,1.41718,2.12205,0.000307,0.000307,0.000307
72,14132.4,1.44155,1.40541,1.68066,0.55355,0.64199,0.53145,0.24751,1.80396,1.43525,2.14288,0.0002971,0.0002971,0.0002971
