epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.6,2.27988,3.35026,2.17334,0.12526,0.12382,0.05962,0.01613,2.42729,3.65013,2.52771,0.000332547,0.000332547,0.0670778
2,156.08,2.23227,3.05139,2.17084,0.09162,0.15343,0.04381,0.01311,2.36026,4.73812,2.48756,0.000659288,0.000659288,0.0340712
3,231.205,2.19777,3.03658,2.17707,0.16716,0.20861,0.09943,0.03126,2.33758,4.04666,2.39277,0.000979429,0.000979429,0.00105805
4,306.025,2.14978,2.90875,2.12562,0.19122,0.16958,0.09972,0.03493,2.21457,3.23703,2.27322,0.0009703,0.0009703,0.0009703
5,380.841,2.09508,2.88259,2.07698,0.19009,0.25168,0.11342,0.04079,2.11065,3.25976,2.25535,0.0009604,0.0009604,0.0009604
6,455.511,2.06461,2.80762,2.04264,0.20217,0.27456,0.14552,0.05206,2.09421,3.37254,2.17064,0.0009505,0.0009505,0.0009505
7,530.044,2.01169,2.69785,2.01944,0.20374,0.24727,0.12836,0.04979,2.16952,3.37795,2.20288,0.0009406,0.0009406,0.0009406
8,604.697,2.00917,2.71782,1.99905,0.24035,0.30821,0.18702,0.07523,2.10308,3.01284,2.20527,0.0009307,0.0009307,0.0009307
9,679.404,1.97969,2.64543,1.97054,0.21421,0.33647,0.15178,0.06199,2.08112,3.03201,2.21418,0.0009208,0.0009208,0.0009208
10,754.032,1.95522,2.59441,1.96901,0.1989,0.32436,0.14576,0.06003,2.04423,3.17614,2.16277,0.0009109,0.0009109,0.0009109
11,828.921,1.92996,2.58375,1.94006,0.24749,0.35128,0.19597,0.08087,1.98503,2.7701,2.10304,0.000901,0.000901,0.000901
12,903.725,1.93237,2.52171,1.93084,0.26917,0.31898,0.19933,0.08095,2.00851,3.05002,2.10821,0.0008911,0.0008911,0.0008911
13,978.537,1.90422,2.51443,1.91673,0.23989,0.35128,0.18748,0.0763,1.98343,2.87328,2.08885,0.0008812,0.0008812,0.0008812
