epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.6822,1.91933,2.21711,2.20649,0.39207,0.29994,0.24875,0.05628,2.92206,3.05847,3.16601,0.000331551,0.000331551,0.0671765
2,147.209,1.83473,1.92453,2.11417,0.41849,0.47627,0.37617,0.08915,2.60621,2.01498,2.85292,0.000651719,0.000651719,0.0341633
3,221.119,1.80649,1.86764,2.09407,0.4443,0.50358,0.43511,0.11158,2.58748,2.02241,2.86646,0.000958688,0.000958688,0.00113694
4,294.893,1.7901,1.8282,2.07755,0.45277,0.43981,0.4154,0.12168,2.42925,2.24687,2.59178,0.0009406,0.0009406,0.0009406
5,368.598,1.75476,1.7249,2.03161,0.60127,0.57988,0.57748,0.15355,2.51233,1.54667,2.61408,0.0009208,0.0009208,0.0009208
6,442.516,1.73332,1.69114,2.01323,0.63368,0.62671,0.63661,0.18152,2.34029,1.5811,2.50401,0.000901,0.000901,0.000901
7,516.808,1.71358,1.66247,1.99829,0.56724,0.59376,0.58273,0.16034,2.4502,1.57883,2.67307,0.0008812,0.0008812,0.0008812
8,591.063,1.70632,1.64392,1.98654,0.60772,0.60405,0.56805,0.14681,2.56532,1.54538,2.75671,0.0008614,0.0008614,0.0008614
9,665.105,1.67939,1.59553,1.95716,0.7164,0.64662,0.69136,0.19291,2.45923,1.50506,2.61203,0.0008416,0.0008416,0.0008416
10,739.302,1.68313,1.56884,1.9541,0.72531,0.69685,0.71401,0.23194,2.22734,1.34849,2.41774,0.0008218,0.0008218,0.0008218
11,813.474,1.6644,1.53567,1.94682,0.69007,0.63716,0.68511,0.21492,2.38581,1.39338,2.513,0.000802,0.000802,0.000802
12,887.14,1.63749,1.49108,1.91638,0.69779,0.66959,0.67124,0.18845,2.4455,1.32004,2.56445,0.0007822,0.0007822,0.0007822
13,961.021,1.63532,1.48113,1.90793,0.69537,0.63633,0.66243,0.18911,2.42146,1.47976,2.57685,0.0007624,0.0007624,0.0007624
14,1034.98,1.63102,1.46199,1.90642,0.62906,0.57476,0.57795,0.14039,2.67389,1.50526,2.83613,0.0007426,0.0007426,0.0007426
15,1108.81,1.62189,1.43638,1.89553,0.74515,0.68731,0.7304,0.22819,2.36029,1.29806,2.44994,0.0007228,0.0007228,0.0007228
16,1182.64,1.61435,1.40988,1.88459,0.73831,0.70419,0.73177,0.21842,2.4539,1.21684,2.57144,0.000703,0.000703,0.000703
17,1256.27,1.60197,1.38149,1.87049,0.75067,0.72722,0.76146,0.23867,2.28925,1.19775,2.40061,0.0006832,0.0006832,0.0006832
18,1330.29,1.60357,1.39101,1.87221,0.73658,0.6991,0.73365,0.23922,2.33193,1.22519,2.46312,0.0006634,0.0006634,0.0006634
19,1404.19,1.58781,1.37384,1.86405,0.7314,0.67419,0.7024,0.19716,2.50557,1.26111,2.65968,0.0006436,0.0006436,0.0006436
20,1477.93,1.59992,1.36833,1.86486,0.80489,0.74279,0.79922,0.28574,2.20304,1.13291,2.33574,0.0006238,0.0006238,0.0006238
21,1551.8,1.57239,1.34379,1.84557,0.78122,0.71619,0.77804,0.27392,2.15297,1.21012,2.29993,0.000604,0.000604,0.000604
22,1625.52,1.56795,1.32055,1.83889,0.76628,0.73122,0.74995,0.23762,2.2997,1.19236,2.424,0.0005842,0.0005842,0.0005842
23,1699.24,1.55679,1.32277,1.83555,0.79229,0.71105,0.78632,0.26117,2.30052,1.11855,2.44772,0.0005644,0.0005644,0.0005644
24,1772.87,1.55741,1.2909,1.82499,0.76021,0.73185,0.77509,0.24755,2.29547,1.17976,2.43064,0.0005446,0.0005446,0.0005446
25,1846.63,1.55142,1.27899,1.81586,0.78347,0.74822,0.81019,0.28656,2.195,1.14155,2.32111,0.0005248,0.0005248,0.0005248
26,1920.62,1.53693,1.27232,1.81359,0.76453,0.70014,0.76125,0.24598,2.39849,1.15447,2.53384,0.000505,0.000505,0.000505
27,1994.27,1.53053,1.25923,1.81218,0.8132,0.74426,0.80753,0.29621,2.17225,1.09037,2.30417,0.0004852,0.0004852,0.0004852
28,2068.12,1.51476,1.22918,1.79299,0.73317,0.71073,0.72594,0.21365,2.45297,1.14434,2.60055,0.0004654,0.0004654,0.0004654
29,2141.75,1.52045,1.22514,1.78818,0.81142,0.7635,0.81914,0.30523,2.11389,1.05475,2.23844,0.0004456,0.0004456,0.0004456
30,2215.53,1.51559,1.23351,1.79536,0.77985,0.72951,0.77656,0.27638,2.28209,1.09772,2.43063,0.0004258,0.0004258,0.0004258
31,2289.56,1.50752,1.21843,1.78649,0.79129,0.76003,0.79324,0.27401,2.22901,1.06259,2.39114,0.000406,0.000406,0.000406
32,2363.37,1.51078,1.213,1.77771,0.81598,0.74288,0.79314,0.25858,2.30532,1.06353,2.44284,0.0003862,0.0003862,0.0003862
33,2437.11,1.50061,1.183,1.76866,0.83681,0.76339,0.83358,0.30048,2.19833,1.06551,2.35305,0.0003664,0.0003664,0.0003664
34,2510.78,1.49122,1.18303,1.77088,0.76282,0.77178,0.79081,0.26204,2.3296,1.04467,2.49397,0.0003466,0.0003466,0.0003466
35,2584.48,1.48557,1.17635,1.76771,0.8163,0.72684,0.78045,0.27499,2.27728,1.06033,2.4257,0.0003268,0.0003268,0.0003268
36,2658.11,1.48219,1.17371,1.7582,0.82593,0.74306,0.80292,0.29683,2.18954,1.03479,2.31659,0.000307,0.000307,0.000307
37,2731.65,1.47502,1.15136,1.75589,0.82229,0.79255,0.84067,0.30996,2.10826,1.03336,2.25513,0.0002872,0.0002872,0.0002872
38,2805.2,1.47089,1.14998,1.74858,0.8184,0.77314,0.82514,0.29094,2.18062,1.02457,2.32993,0.0002674,0.0002674,0.0002674
39,2878.9,1.46102,1.14208,1.74195,0.86572,0.80306,0.85648,0.3433,2.01008,0.97592,2.17537,0.0002476,0.0002476,0.0002476
40,2952.49,1.45871,1.13863,1.74098,0.83048,0.74832,0.81196,0.29036,2.26816,1.01655,2.40897,0.0002278,0.0002278,0.0002278
41,3026.23,1.39948,0.85826,1.76248,0.85366,0.76683,0.83088,0.30017,2.18883,1.0211,2.33119,0.000208,0.000208,0.000208
42,3098.07,1.35818,0.7878,1.72449,0.82701,0.7851,0.8197,0.29746,2.15768,1.03461,2.35258,0.0001882,0.0001882,0.0001882
