epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,230.281,1.89526,2.19002,2.22872,0.3087,0.19976,0.1862,0.04129,3.05076,5.62377,3.59817,0.000331551,0.000331551,0.0671765
2,466.288,1.86479,2.01327,2.19146,0.30166,0.36612,0.25518,0.05928,2.77183,2.80924,3.09386,0.000658302,0.000658302,0.0341699
3,701.526,1.83486,1.96134,2.15971,0.38891,0.41903,0.3182,0.07453,2.78007,2.2891,3.14704,0.000978453,0.000978453,0.00115671
4,936.488,1.80485,1.90143,2.13702,0.50447,0.47493,0.45744,0.12608,2.4853,2.08046,2.79645,0.0009703,0.0009703,0.0009703
5,1171.75,1.7598,1.80127,2.08536,0.56673,0.54687,0.55086,0.154,2.4736,1.68503,2.7334,0.0009604,0.0009604,0.0009604
6,1406.95,1.73498,1.7379,2.06073,0.53314,0.62502,0.55779,0.16953,2.26837,1.88584,2.57468,0.0009505,0.0009505,0.0009505
7,1641.9,1.72358,1.70317,2.05242,0.5624,0.5435,0.51001,0.12721,2.61808,1.88972,2.9459,0.0009406,0.0009406,0.0009406
8,1876.7,1.70608,1.66386,2.03627,0.61643,0.54301,0.54962,0.15135,2.54394,1.56421,2.83375,0.0009307,0.0009307,0.0009307
9,2111.31,1.68184,1.61237,2.01433,0.68886,0.58601,0.61776,0.1831,2.40626,1.63226,2.63527,0.0009208,0.0009208,0.0009208
10,2346.45,1.69256,1.60481,2.00988,0.69296,0.61022,0.64109,0.17643,2.47802,1.50529,2.7323,0.0009109,0.0009109,0.0009109
11,2581.27,1.66329,1.57868,1.99868,0.69582,0.64489,0.67452,0.19119,2.46222,1.4375,2.68674,0.000901,0.000901,0.000901
12,2816.08,1.64704,1.51854,1.97352,0.74176,0.65602,0.70291,0.19694,2.47427,1.30177,2.65885,0.0008911,0.0008911,0.0008911
13,3050.85,1.64182,1.49025,1.95388,0.71846,0.59974,0.64733,0.18783,2.51027,1.36988,2.69145,0.0008812,0.0008812,0.0008812
14,3285.58,1.63366,1.47537,1.9574,0.67812,0.58818,0.62732,0.17362,2.51677,1.47613,2.82642,0.0008713,0.0008713,0.0008713
15,3520.31,1.62602,1.45946,1.951,0.75275,0.70035,0.74777,0.2346,2.26098,1.34328,2.46723,0.0008614,0.0008614,0.0008614
16,3754.81,1.62048,1.43572,1.95182,0.72456,0.70176,0.74489,0.23023,2.38867,1.2212,2.62056,0.0008515,0.0008515,0.0008515
17,3989.38,1.60616,1.39063,1.9271,0.71063,0.7055,0.71712,0.20884,2.41234,1.29506,2.63177,0.0008416,0.0008416,0.0008416
18,4223.77,1.6045,1.41214,1.92528,0.72731,0.7103,0.74083,0.24442,2.28484,1.30885,2.46559,0.0008317,0.0008317,0.0008317
19,4458.53,1.59142,1.40023,1.92276,0.71656,0.69001,0.71665,0.22326,2.43331,1.2677,2.67028,0.0008218,0.0008218,0.0008218
